	Gene	X0h.a	X0h.b	X2h.a	X2h.b	X8h.a	X8h.b	X16h.a	X16h.b
9494	Gene9494	291050.259	152985.5931	388483.0733	343839.7723	274461.5245	305480.3651	215278.7029	223199.365
9520	Gene9520	317751.5803	296431.6451	274615.2082	260333.2486	342505.0828	361304.7137	177787.3036	162661.5798
409	Gene409	182517.3099	171565.0542	407522.0983	355469.0523	330909.6738	334140.982	194411.9444	209802.8509
8703	Gene8703	339897.7806	257305.1086	318879.6868	309798.2934	254113.2942	278146.3811	195688.5153	223123.2066
1792	Gene1792	76392.98265	55645.11404	47199.37047	39579.98668	387878.3952	476114.7328	531152.8446	550833.3944
8685	Gene8685	349004.0949	212532.0713	363210.5196	317326.5744	276449.2778	292759.153	165412.8729	174610.3694
8963	Gene8963	209195.1172	220797.4908	276297.9797	316407.1332	283914.1248	271034.2077	269818.5558	272143.8704
10973	Gene10973	302947.0264	277646.3161	262131.4947	237922.8255	279829.3952	290528.0037	240819.5162	225717.3721
7646	Gene7646	287140.3139	295519.9444	295632.0214	301457.5583	259449.1694	257619.9197	209892.3145	210528.1081
11978	Gene11978	248750.2826	243524.99	258403.0665	266860.7692	266830.0427	264643.924	272463.3438	294207.9478
9640	Gene9640	304463.2485	306934.1247	264950.9899	284894.8884	248683.9562	242601.0033	233110.5199	224593.5257
2038	Gene2038	190815.8753	186304.9332	234496.9169	217282.3287	347315.5233	356037.0429	287981.4689	282983.5376
7502	Gene7502	265671.9821	218784.8305	375408.6181	251346.839	275710.2844	277731.7801	207545.764	226514.9944
7144	Gene7144	266638.9806	274780.5572	281154.9144	266136.4489	257097.9194	256832.594	249726.9186	246272.3931
11891	Gene11891	258438.7849	268672.1342	256259.9821	245701.6395	248917.5067	249813.3841	280188.1812	285235.7595
2999	Gene2999	504193.9165	516818.025	343741.3712	388944.2625	90487.83563	130474.8074	61775.4605	55521.94571
3800	Gene3800	339143.7265	332599.1928	370651.6441	244594.7854	253253.4588	258741.5765	146299.4052	146315.5146
12799	Gene12799	275910.9228	268062.7126	311379.6684	262565.8615	250797.0742	253105.8109	220943.8894	238035.2296
466	Gene466	216539.4596	230684.0045	425965.0286	357790.3682	235863.6368	221182.0275	189748.2615	194054.4076
11447	Gene11447	367741.8067	438092.9724	129510.6282	297798.0696	180010.3787	244306.6535	178320.7067	224972.5548
5192	Gene5192	257177.7901	267241.8971	330818.8601	256171.5931	249317.2474	256968.4677	222699.3436	213217.7327
2993	Gene2993	291382.265	277142.5685	302669.8338	306817.6315	233704.8014	251008.4478	193169.6277	193284.031
7120	Gene7120	259484.9536	278456.0964	351801.4894	268087.1159	245087.5962	251536.1517	188212.6331	193703.4933
13280	Gene13280	277734.5855	270776.5813	193241.127	246408.3233	263739.5559	279552.7179	263902.2269	239617.7404
11687	Gene11687	395846.0466	203787.6523	416591.5663	274856.5975	180014.3747	231563.2606	160002.2612	170098.5638
9815	Gene9815	243613.3767	262191.9884	274546.2927	235687.5032	233735.2167	251069.9171	261452.3679	264579.4064
10721	Gene10721	209436.829	216482.5552	233693.217	266886.1216	245749.1992	256333.2509	291836.9192	299576.3708
9922	Gene9922	245814.449	234724.4389	235972.0867	217835.3963	291539.6528	301932.3646	243964.5151	240202.5754
3381	Gene3381	268187.4018	278927.8015	267019.2477	265659.7582	244199.8755	244802.4489	221158.529	217134.8828
1889	Gene1889	258730.0967	248306.0554	162219.767	178743.9212	247246.8209	264007.609	318685.0379	320807.5328
8209	Gene8209	247741.9598	220234.0062	262222.0988	310385.598	249209.1298	230780.2329	220282.8305	249086.9354
1895	Gene1895	220846.9105	209252.4575	135475.3853	221566.4173	232161.1947	220856.4552	360670.5899	379069.9802
3116	Gene3116	324876.9663	308234.0282	293718.2111	295744.8406	213936.4772	225345.4981	149704.3068	154721.5667
2860	Gene2860	339202.9619	327266.1549	250962.0949	246303.1264	228380.0669	239991.7258	158269.3168	167197.0977
11525	Gene11525	259643.9893	255279.3793	284408.1643	235920.1397	229653.9317	237438.2697	226776.8293	225054.5018
7503	Gene7503	242653.0821	234618.986	264504.3044	216671.3641	245130.3711	246182.4585	248509.676	254786.601
5218	Gene5218	256155.3391	237745.3295	289289.0086	233644.6672	253251.8546	249299.9893	207786.3213	224350.3656
11880	Gene11880	284260.222	159358.0371	399137.0405	281907.8441	244472.6632	260322.0211	143344.2528	173610.5579
2916	Gene2916	279474.3919	276502.7321	308868.5974	254770.9438	223081.0817	232646.2711	184826.6411	182300.53
12726	Gene12726	281353.3642	289463.7265	174194.3033	394101.4859	242513.9331	265670.72	147679.8069	147215.7327
8652	Gene8652	262894.2993	280214.1664	338746.3271	278382.16	205411.1933	206701.318	203523.6579	164414.7348
9715	Gene9715	260040.0736	276296.6435	221370.4475	247383.7292	234245.8417	242447.3745	228577.3545	229320.5005
6333	Gene6333	229100.9063	159816.4311	133910.7142	234900.1033	206953.6119	271893.5559	355993.4028	336091.789
3708	Gene3708	260194.0643	284244.2271	178085.5239	251400.0571	225221.0367	237949.0546	242426.1047	239728.6857
9785	Gene9785	245615.3472	253628.0572	238459.194	226952.1097	225363.4556	227352.3975	245655.2549	255918.7693
8674	Gene8674	264158.5064	174310.7941	469936.326	250218.4965	232551.2359	263221.742	128576.903	131115.5274
11943	Gene11943	238200.7323	251363.4029	281187.953	227880.5525	230561.9643	238883.3507	218536.4378	219036.2964
13735	Gene13735	242005.6608	246872.2015	255040.6272	234251.7489	231812.2998	231745.9398	227715.119	232399.0183
11889	Gene11889	245153.5721	233556.8561	268842.2288	236197.8486	237606.0491	240675.0362	202909.8867	229114.3803
9049	Gene9049	223706.404	228252.1918	182755.6717	227116.1158	219423.9209	211755.0767	299441.0738	296903.0794
757	Gene757	175916.0321	165125.3561	536663.7919	368630.3802	195777.7026	196923.2298	113756.2996	111455.219
4120	Gene4120	195104.7911	202851.5057	146542.8585	291259.7122	284644.7121	258783.5848	238098.323	243897.6136
8848	Gene8848	264767.2377	251003.1255	265974.3576	241248.8744	229421.7485	228993.4805	194685.3895	181660.5605
11899	Gene11899	264993.594	215070.3414	276391.3812	237931.9045	217757.6979	230642.8592	192026.331	211200.2592
13333	Gene13333	189791.1403	208300.8497	225231.8446	223784.1093	221839.0286	229925.4316	275903.5709	270896.8179
12088	Gene12088	237125.1901	234111.6009	88098.17193	243738.5742	211051.9488	207601.6549	296874.8219	320239.2707
8516	Gene8516	198744.8724	227681.5693	197075.9249	238569.0195	231758.6067	232249.9629	245764.3999	264238.9273
6830	Gene6830	239701.6199	236650.1903	170607.7894	221844.0963	223747.8164	222794.4753	251607.9312	255345.914
13736	Gene13736	225641.4248	228164.6761	245462.3734	219339.1541	220259.4213	221725.9741	224080.5351	232843.6839
8661	Gene8661	245970.205	259751.8595	167454.0715	237107.6931	205925.5401	206715.7266	247729.581	244524.8792
1254	Gene1254	209502.1715	205533.0787	165169.5477	194902.2018	216083.1689	218619.4455	294143.2734	307556.5494
9584	Gene9584	218247.0867	226199.1928	203640.1071	264325.7584	217794.0189	207583.5287	249673.2045	222127.87
2444	Gene2444	348724.7032	315475.5027	132807.6219	207971.7846	174755.6807	189711.7824	220614.186	216803.2281
3467	Gene3467	123182.6185	169199.7818	202996.356	79839.92146	289120.4363	118954.5774	417815.1946	403326.8591
11594	Gene11594	222365.2213	231070.7127	251594.636	227204.7666	210435.2533	213821.4804	217966.8717	226039.2814
11614	Gene11614	226322.4885	176425.1306	262411.4862	235508.6902	249216.8927	245650.5993	189606.5003	214835.1771
12772	Gene12772	250198.7422	245258.9582	174745.564	190207.6106	228328.1022	230443.9572	237066.0215	240155.43
3667	Gene3667	291853.787	234082.3025	246217.2099	267873.2289	218865.0033	223658.8552	141273.1851	172202.5593
2530	Gene2530	313647.9552	285149.4606	204297.8137	197194.7409	165333.9149	185522.668	226635.3642	217888.2307
7484	Gene7484	231637.8712	236615.0785	248991.783	213970.268	225091.5445	214781.3702	210896.3783	211333.8561
11615	Gene11615	236019.3042	243447.2031	234983.9313	218774.68	213854.587	217000.3197	208341.9802	212893.8003
5925	Gene5925	244880.9405	235340.7433	174505.1511	211403.0403	193211.445	208964.1047	276275.7814	240665.4862
11419	Gene11419	183725.4103	179012.2387	263646.812	212587.3479	242811.015	242550.9507	222031.4235	238357.9438
