	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gene3685	-0.157518037027844	6.23898759550614	-1.60928628367296	0.143794448891126	0.999988671207323	-4.41033754987505
Gene9910	0.196362639658354	4.47616821940113	1.67448017081213	0.130140604874096	0.999988671207323	-4.41041461041228
Gene7720	0.174193643971666	4.14401561713664	1.70758829032204	0.123670535233807	0.999988671207323	-4.41072110646358
Gene13165	-0.283200846049049	4.06716886181501	-1.71777098512692	0.121740961618354	0.999988671207323	-4.41098777151729
Gene9022	0.206477863893902	3.88260040348727	1.74822330865834	0.11613513215808	0.999988671207323	-4.41116185873143
Gene9379	-0.344171659697179	6.86245075115204	-1.61099139622213	0.14342136220746	0.999988671207323	-4.41169840696965
Gene7200	0.199134228014389	6.05261670855826	1.60680006782067	0.144340019725499	0.999988671207323	-4.41188671479203
Gene5907	0.178858997785969	6.24438223067342	1.60394367429775	0.144969133996728	0.999988671207323	-4.41241842541908
Gene13688	0.319784278818327	3.28758082857046	1.9927269915454	0.0791332707017256	0.999988671207323	-4.41289932420135
Gene12920	0.194543945233439	6.0475336358596	1.60289313148562	0.14520113698436	0.999988671207323	-4.41342019295843
Gene11122	0.381780814541845	3.54045185171599	1.85869477622223	0.0977536386902935	0.999988671207323	-4.41364867226122
Gene9208	0.183285202171314	4.435411485242	1.65987537628685	0.133092199782917	0.999988671207323	-4.41641493930073
Gene13162	0.51748168997015	5.54064174932109	1.60736528569591	0.144215824986193	0.999988671207323	-4.41651391644079
Gene6824	-0.180891128558729	4.36280859530564	-1.66573988034062	0.131899714752994	0.999988671207323	-4.41661011182689
Gene13699	0.438907294302339	5.72161862224815	1.6022145458315	0.145351175027904	0.999988671207323	-4.41663835603486
Gene13515	-0.270010519771583	3.38058739569512	-1.91614362401668	0.0893127051217358	0.999988671207323	-4.41719715521344
Gene7273	-0.262512935745067	4.2446518391759	-1.67545512389005	0.129945719514532	0.999988671207323	-4.41740054350126
Gene13740	0.771100073837705	5.36237283303612	1.60938256234804	0.143773359270677	0.999988671207323	-4.41789702225208
Gene6130	0.172522821293869	6.1456232174302	1.58819841615276	0.148481696542195	0.999988671207323	-4.41869881664063
Gene12442	-0.201418626096591	4.67321607743161	-1.63408317235464	0.138454497899041	0.999988671207323	-4.41918207874088
Gene8143	0.277841515845368	7.01764040765447	1.59419461041424	0.147135061989115	0.999988671207323	-4.4191999127864
Gene13138	-0.173311532584034	4.35198281908533	-1.65567938590703	0.133951449060042	0.999988671207323	-4.42020330813924
Gene3549	0.255208876438614	3.54531144460559	1.82238998414594	0.103470274458889	0.999988671207323	-4.42042277412809
Gene10852	-0.26843721457715	3.74358961946527	-1.75152059632122	0.115542716606298	0.999988671207323	-4.42056802451212
Gene7533	-0.30184065932888	4.80238465052742	-1.61578116068398	0.142378026462893	0.999988671207323	-4.42305040438306
Gene9580	-0.320022055537265	4.29128398619282	-1.65250970206398	0.134603888675445	0.999988671207323	-4.42335159516265
Gene3526	0.324292290816612	4.73678737416647	1.61650381108832	0.14222121304661	0.999988671207323	-4.42411469558714
Gene9766	0.229778384053804	6.03185509916389	1.57498383835835	0.151488752571752	0.999988671207323	-4.42433100544138
Gene13179	-0.187463251637616	5.9472204788141	-1.57572926520701	0.151317678035131	0.999988671207323	-4.42448001899847
Gene9024	-0.313481923880397	3.25014333780331	-1.95454948607427	0.0840608384713407	0.999988671207323	-4.42479405958669
Gene4283	0.224140436636589	4.23742816526776	1.65242506054863	0.134621350770617	0.999988671207323	-4.42489323996127
Gene5567	-0.200267380764723	3.67516287760708	-1.74964442846041	0.115879458341942	0.999988671207323	-4.4259611287518
Gene11121	0.172500394488543	5.61100267949857	1.5802333890851	0.150287681178623	0.999988671207323	-4.42598403022841
Gene4744	-0.277872563398714	5.54994018512396	-1.58179258447354	0.149932600090605	0.999988671207323	-4.42602878966758
Gene3553	0.210620030251641	5.09716701917508	1.59391726751562	0.147197104097892	0.999988671207323	-4.42623338121986
Gene7141	-0.329394022141997	8.59345232283601	-1.58903095388043	0.148294061519615	0.999988671207323	-4.42630913907292
